﻿spot,rating,location,website,phone,notice,price,introduction,time,policy,service,grade,number,traffic,sid
阿倍仲麻吕纪念碑,,西安市碑林区咸宁西路55号兴庆宫公园东南角,,,,,阿倍仲麻吕纪念碑位于西安兴庆宫公园东南角。建于1979年，西安的友好城市日本奈良也建有一座。纪念碑由中国知名建筑大师张锦秋设计，具有典型的唐代风格。碑高5.36米，以汉白玉砌筑，端庄峻拔。碑周围种有1979年纪念碑落成典礼时奈良市友好访华团送来的樱花。该碑正北长庆轩也是为纪念阿倍仲麻吕所修，现为外宾接待室。,1、2、11、12月：6:30-18:30；3、4、9、10月：6:00-19:30；5、6、7、8月：5:30-20:00,乘坐37路到鸡市拐站下,,,,,172
西安交通大学博物馆,,西安市碑林区咸宁西路28号西安交通大学西南角（宪梓堂路西）,http://www.museum.xjtu.edu.cn/,029-82665634,,,西安交通大学博物馆成立于2004年，位于西安交大西南角，从学校西门进校不远便是。博物馆设立了历代文物馆、西部农民画馆、木版年画馆、古简牍陈列馆、书法碑石馆、画像石拓本馆、秦腔博物馆、邢良坤陶瓷艺术馆、活动展览厅等展厅。,"周一-周六上午9:00-12:00,下午13:00-17:00，周日闭馆。",乘坐612路到交大南门站下,,4.5,38条点评,,173
西安世博园自然馆,,西安市灞桥区世博大道西安世博园内,,,,,西安世博园自然馆位于世博园内锦绣湖畔，是2011年西安世园会的植物温室。自然馆包含热带雨林植物展区、沙漠植物展示区等区域，展示了地球上不同地域、不同气候带的珍贵植物及生态景观。,9:30-17:30，16:30停止售票。,乘坐47路到广运潭站下,,4.4,33条点评,,174
唐梨园遗址博物馆,,西安市临潼区华清路038号华清池景区内,,,,,"唐梨园遗址位于华清池景区，始建于开元11年（公元723年），是迄今我国唯一一处发掘出土的唐代梨园遗址, 也叫随驾梨园，现已辟为唐梨园遗址博物馆。梨园遗址博物馆是全国首座梨园文化专题博物馆。",旺季（3月1日-11月底）7:00-18:00，淡季（12月1日-次年2月底）7:30-18:30。,乘坐地铁9号线到华清池站下,,,,,175
飞霜殿,,西安市临潼区华清路038号华清池景区内九龙湖北岸,,,,,飞霜殿位于华清池九龙湖北岸，面湖而立，曾是唐玄宗和杨贵妃的寝殿。取名飞霜殿是因为每年冬天唐玄宗带着杨贵妃来华清池沐浴温泉，漫天大雪飞舞之际，雪花还未触及地面，就被温泉蒸腾在空中，落雪为霜。,具体开放时间请咨询景区,乘坐地铁9号线到华清池站下,飞霜殿如今是华清池接待贵宾的地方，并不对游人开放。只能看看外面雕梁画栋的建筑，以及殿后那副《杨玉环奉诏温泉宫》壁画。这幅壁画十分精彩，值得细细欣赏。,4.5,13条点评,,176
王顺山国家森林公园,4A,西安市蓝田县蓝桥镇安子沟村,,,,,王顺山原名玉山，因大孝子王顺担土葬母于此而得名，著名的蓝田玉即产于此山中。王顺山奇峰耸立，沟谷幽深，山水自然，森林景观优美，环境清幽，是郊游的好去处。,8:00-18:00，16:30停止进入。,"补充说明：1、特惠政策：A.免票政策：儿童身高1.2米以下免景区参观票；60周岁以上老年人凭《陕西省敬老优待证》、现役军人凭军官证、士兵凭士兵证、残疾人凭残疾证、军校学员凭学员证免景区参观票。2、B.优惠政策：儿童身高1.2—1.5米购景区优惠票，在校全日制学生凭学生证购学生票。备注：购买学生票需凭学生证取票。3、以上信息仅供参考,具体信息请以景区当天披露为准。",,4.2,59条点评,,177
杨虎城将军陵园,,西安市长安区韦曲街道双竹村,,,,,杨虎城将军陵园位于长安区韦曲镇东1公里处，背依凤栖原，北与杜公祠毗邻，为西安市重点文物保护单位。1936年杨虎城与张学良共同发动“西安事变”，对停止内战、一致抗日起了推动作用。1949年杨虎城将军与儿子杨拯中在重庆被害，1950年迁葬于此。陵园分上下两层，上层为杨将军墓，左右为夫人谢葆贞、儿子杨拯中墓。下层为秘书宋绮云夫妇、副官、卫士等人墓。杨虎城的长子杨拯民1998年病逝后也归葬于此。,乘坐地铁2号线到韦曲南站下,,,,,,178
唐太液池遗址,,西安市新城区自强东路585号大明宫国家遗址公园内紫宸殿遗址以北,,,,,,具体开放时间请咨询景区,乘坐地铁4号线到大明宫站下,,,,,179
曲江农博园,,西安市周至县集贤镇,,,,,西安楼观曲江农业博览园，是以生态高效农业设施栽培示范园区为标准，高起点、高标准、高质量的现代农业设施。园区占地面积约585亩，以农业资源为基础，生态旅游为主题，涵括了有机食品体验馆、农耕种植园、曲江菜园、绿色童年、低碳生活馆、秦岭花鸟园、楼观驿站等七座现代农业科技温室，汇聚了现代农业展示、农耕文化传承、农业休闲体验、精品花卉展示、生态康体康居、餐饮会议接待、儿童游乐体验等功能，为游客提供一站式旅游体验服务，享受无限风光的田园乐趣。,全年 09:00-18:00,补充说明：1、免票政策：1.2米以下儿童（含1.2米），65周岁（含）以上老人持老年证或者身份证换取免票，现役军人持有效证件换取免票，残疾证换取免票。 2、优惠政策：1.2米（不含）-1.5米（含）的儿童，60（含）-64周岁（含）老人持有效证件购买半价，本科及本科以下学历持本人学生证购买半价。3、以上信息仅供参考，具体信息请以西安曲江农博园景区当天披露为准。,乘坐环山旅游1号线到曲江农博园站下,4.2,34条点评,,180
祥峪森林公园,,西安市长安区东大镇观音山下,http://www.xaxyly.cn/,"029-85865069,029-85865075",,29,,"全年 08:00-17:30(停止售票16:30,最晚入园16:30)","儿童：身高1.2米(含)以下，免费
补充说明：以上信息仅供参考，具体信息请以景区当天披露为准。",停车场：【祥峪森林公园停车场】参考价格：收费；地址：祥峪森林公园门口；库位：以景区实际情况为准,4.4,86条点评,乘坐774路到祥峪森林公园站下,181
荐福寺,,友谊西路72号西安博物院内(近小雁塔),,,,,,全年 09:00-17:00,乘坐地铁2号线到南稍门站下,,4.9,63条点评,,182
骑行古城墙,,城墙环绕着整个西安市中心，多数游客从南门（永宁门）登城，南门位于西安市环城南路东、西段交汇处。,,,,45,在古城墙上骑自行车是一种很不错的游览方式，在骑行中，你会有一种时光穿越的感觉。目前在东、南、西、北等四门都有租借自行车服务，骑行结束后在上述任一门都可以返还自行车。,南门8:00-22:00，小东门8:00-21:00，东门、西门、含光门、尚德门8:00-19:00。北门、和平门、文昌门不开放。,乘坐地铁2号线到永宁门站下,,4.2,53条点评,,183
仙游寺,,西安市周至县城南17公里的黑水峪口,,,,,,全年 8:00-18:00,乘坐周至106路到武家庄站下,很好的旅游时间：春秋季节。仙游寺所在地陕西属于温带半干旱气候，一年四季气候分明，夏季潮湿多雨，冬季干燥少雪，很好的旅游季节为春秋两季。,4.1,31条点评,,184
《梦回大秦》穿越体验馆,,西安市临潼区秦始皇陵东门向东500米,http://menghuidaqin.com/,029-83913000,,80,《梦回大秦》穿越体验馆——惊险穿越二千年，探寻千古谜底。前半部分为乘坐轨道车穿越体验区，运用高科技和数字艺术，通过声、光、电、3D到6D的数字复原和立体展现，使游客有一种身临其境的感受，是一场高科技的视觉艺术盛宴，用时约30分钟。,3月1日-11月30日 08:00-18:00；12月1日-次年2月28日 09:30-16:30,"儿童：6周岁（含6周岁）以下或身高1.2米（含1.2米）以下的儿童，免费；身高1.2米至1.4米（含1.4米）的儿童，半价
学生：对6周岁以上-18周岁（含18周岁）的未成年人、全日制大学本科及以下学历的在校大学生（不含成人院校）凭身份证和学生证，半价
老人：老年人，凭身份证（或陕西省敬老优待证）实行免票。（65周岁以上老人必须有监护人陪同参观，否则谢绝参观。），免费
残疾人：残疾人（凭残疾证）实行免票，免费
军人：中华人民共和国现役军人、军队离退休干部（凭军官证、文职干部证、士官证、士兵证）；退伍红军老战士（凭退伍证、离退休证）；军队院校学生（凭学员证）；革命伤残军人（凭军残证）、一律实行免票，免费
补充说明：港、澳、台等入境游青少年凭（通行证）或学生证等有效身份证明享受与内地青少年同等的优惠政策",乘坐临潼602路到秦始皇陵站下,4.2,253条点评,,185
户县农民画展览馆,,西安市鄠邑区画展街14号,http://www.farmerpainting.net/contact.asp,029-86261781,,,户县农民画展览馆位于户县画展街14号，建于1976年，分8个展厅，展出二百多幅有代表性的作品，具有强烈的乡土气息和鲜明的时代特征，其构思之巧妙，手法之新颖都令人惊叹。这些作品真实而生动地反映了我国农村在各个不同发展阶段所经历的深刻变化。不仅具有审美价值，很多还具有史料价值。,全年 9:00-18:00,乘坐930路到长虹十字站下,,4.2,37条点评,,186
九龙潭风景区,,西安市长安区喂子坪村河西,,,,35,九龙潭风景区位于西安市长安区境内的喂子坪，地处秦岭北麓，风景区群山锦绣，从山顶到潭底瀑布层叠，一派自然风光。,8:00-18:00，17:00停止入场。,,,4.2,38条点评,,187
小五台,,西安市长安区子午镇以南2.5千米处,,,,,小五台位于西安市长安区子午峪内，海拔1530米，同属终南山，相对于南五台而言却鲜有人知。小五台景色优美，林木苍翠，沿途芳草萋萋、山花烂漫，山野之色清新迷人。,全年 全天开放,乘坐772路到子午峪保护总站下,"1、不管是通往小五台的路还是上山的路都比较崎岖难行，要穿运动鞋。

2、山上有农家乐，也可以自备干粮。但是登山途中，水一定要备足。",4.4,11条点评,,188
高冠瀑布,,西安市长安区东大街高冠峪风景区,,,,,高冠峪山水秀丽，风景宜人，秦汉时是皇家上林苑的一部分，唐代时成为长安帝都近效的旅游之地。高冠瀑布古来就是名胜之地，明代列为户县八景之一。,开放时间：夏令8:00-18:00，冬令9:00-17:00。,补充说明：1、免票政策：儿童身高1.2米（不含）以下免费；65周岁以上老年人凭有效证件免票。2、优惠政策：儿童身高1.2m（含）-1.4m(含)购景区儿童票。3、以上信息仅供参考，具体以景区当天披露为准。,乘坐高新城乡21号线到李家岩站下,3.5,75条点评,,189
鸿门宴遗址,,西安市临潼区新丰街道办事处鸿门堡2号,,,,,鸿门宴遗址南依骊山，北临渭河，地处潼关通长安之要道，遗址前横着一公里长的峭塬，中间象刀劈似的断为两半，南北洞开，犹如城门，鸿门因此而得名。,全年 08:30-18:30,补充说明：1、免票政策：1.2米（不含）以下儿童免票，65周岁（不含）以上老人凭身份证件或老年证换取免票，现役军人凭有效证件免票，残疾人凭有效证件免票。2、优惠政策：学生证享受半价优惠政策。3、以上信息仅供参考，具体信息请以景区披露为准。,乘坐临潼301路零口线到鸿门宴站下,,,,190
糖坊街天主堂,,西安市莲湖区糖坊街71号,,,,,糖坊街天主堂，又称西安伯多禄堂，位于西安市莲湖区糖坊街，相对于五星街圣方济各主教座堂南堂又被称作北堂。北堂建于明天启五年至六年（1625-1626年），是西安市较早的天主教堂。,全年 9:00-19:00,乘坐37路到北门里站下,,4.4,22条点评,,191
环城西苑公园,,西安市莲湖区环城西路，西门两侧,,,,,环城西苑公园是西安环城公园的一段，也是修得很好的一段，位于西门安定门两边，东临护城河，西临环城西路。公园绿化非常好，树木茂盛、花草飘香，园内有许多运动器材，临河开放了许多酒吧、餐厅、咖啡馆。公园中有很多具有陕西特色的民俗雕塑，伴着旁边的古城墙，现代中又带着古朴的风味。每天都有很多人在这里唱歌、锻炼、放风筝，是市民们休闲娱乐的好去处。,全年 全天开放,乘坐224路到西安市第一中学站下,,4.5,53条点评,,192
